Analysis,Component name,Id numeric,Result text,Result type,Result value
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238091","201                                                                                                                                                                                                                                       ","N","   200.500"
"WMM-LM-CAM","Cloro total                             ","    238091","0.55                                                                                                                                                                                                                                      ","N","     0.550"
"D_TURBIDEZ","Turbidez                                ","    238091","<0.4                                                                                                                                                                                                                                      ","N","     0.300"
"FECHA-AMB "," Fecha comienzo de los ensayos          ","    238091","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-AMB "," Fecha fin de los ensayos               ","    238091","19/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha comienzo de los ensayos          ","    238091","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha fin de los ensayos               ","    238091","20/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238091","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238091","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22 ºC     ","    238091","0.0                                                                                                                                                                                                                                       ","K","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22º C     ","    238091","<1                                                                                                                                                                                                                                        ","N","     1.000"
"M-068-AC1 ","P1                                      ","    238091","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","P2                                      ","    238091","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Recuento                                ","    238091","0                                                                                                                                                                                                                                         ","K","     0.000"
"M-068-AC1 ","d                                       ","    238091","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Aluminio total                          ","    238091","70.1                                                                                                                                                                                                                                      ","N","    70.070"
"MET-GRF-AC","Cobre total                             ","    238091","<50.0                                                                                                                                                                                                                                     ","N","     2.010"
"MET-GRF-AC","Cromo total                             ","    238091","<10.0                                                                                                                                                                                                                                     ","N","     0.050"
"MET-GRF-AC","Hierro total                            ","    238091","15.6                                                                                                                                                                                                                                      ","N","    15.630"
"MET-GRF-AC","Niquel total                            ","    238091","<5.0                                                                                                                                                                                                                                      ","N","     1.140"
"MET-GRF-AC","Plomo total                             ","    238091","<1.0                                                                                                                                                                                                                                      ","N","     0.040"
"WMM-LM-CAM","Cloro combinado                         ","    238091","0.11                                                                                                                                                                                                                                      ","N","     0.110"
"WMM-LM-CAM","Cloro libre                             ","    238091","0.44                                                                                                                                                                                                                                      ","N","     0.440"
"D_PH      ","pH                                      ","    238091","8.1                                                                                                                                                                                                                                       ","N","     8.060"
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238092","199                                                                                                                                                                                                                                       ","N","   199.400"
"WMM-LM-CAM","Cloro total                             ","    238092","0.31                                                                                                                                                                                                                                      ","N","     0.310"
"D_TURBIDEZ","Turbidez                                ","    238092","<0.4                                                                                                                                                                                                                                      ","N","     0.210"
"FECHA-AMB "," Fecha comienzo de los ensayos          ","    238092","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-AMB "," Fecha fin de los ensayos               ","    238092","19/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha comienzo de los ensayos          ","    238092","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha fin de los ensayos               ","    238092","20/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238092","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238092","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22 ºC     ","    238092","0.0                                                                                                                                                                                                                                       ","K","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22º C     ","    238092","<1                                                                                                                                                                                                                                        ","N","     1.000"
"M-068-AC1 ","P1                                      ","    238092","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","P2                                      ","    238092","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Recuento                                ","    238092","0                                                                                                                                                                                                                                         ","K","     0.000"
"M-068-AC1 ","d                                       ","    238092","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Aluminio total                          ","    238092","67.4                                                                                                                                                                                                                                      ","N","    67.440"
"MET-GRF-AC","Cobre total                             ","    238092","<50.0                                                                                                                                                                                                                                     ","N","     6.210"
"MET-GRF-AC","Cromo total                             ","    238092","<10.0                                                                                                                                                                                                                                     ","N","     0.040"
"MET-GRF-AC","Hierro total                            ","    238092","13.1                                                                                                                                                                                                                                      ","N","    13.140"
"MET-GRF-AC","Niquel total                            ","    238092","<5.0                                                                                                                                                                                                                                      ","N","     1.120"
"MET-GRF-AC","Plomo total                             ","    238092","<1.0                                                                                                                                                                                                                                      ","N","     0.180"
"WMM-LM-CAM","Cloro combinado                         ","    238092","<0.10                                                                                                                                                                                                                                     ","N","     0.040"
"WMM-LM-CAM","Cloro libre                             ","    238092","0.27                                                                                                                                                                                                                                      ","N","     0.270"
"D_PH      ","pH                                      ","    238092","8.0                                                                                                                                                                                                                                       ","N","     8.000"
"MET-GRF-AC","Cobre total                             ","    238093","<50.0                                                                                                                                                                                                                                     ","N","    10.550"
"MET-GRF-AC","Aluminio total                          ","    238093","68.0                                                                                                                                                                                                                                      ","N","    68.000"
"MET-GRF-AC","Hierro total                            ","    238093","14.7                                                                                                                                                                                                                                      ","N","    14.670"
"MET-GRF-AC","Niquel total                            ","    238093","<5.0                                                                                                                                                                                                                                      ","N","     1.240"
"MET-GRF-AC","Plomo total                             ","    238093","<1.0                                                                                                                                                                                                                                      ","N","     0.290"
"WMM-LM-CAM","Cloro combinado                         ","    238093","0.20                                                                                                                                                                                                                                      ","N","     0.200"
"WMM-LM-CAM","Cloro libre                             ","    238093","0.20                                                                                                                                                                                                                                      ","N","     0.200"
"WMM-LM-CAM","Cloro total                             ","    238093","0.40                                                                                                                                                                                                                                      ","N","     0.400"
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238093","193                                                                                                                                                                                                                                       ","N","   192.500"
"D_PH      ","pH                                      ","    238093","8.0                                                                                                                                                                                                                                       ","N","     7.970"
"D_TURBIDEZ","Turbidez                                ","    238093","<0.4                                                                                                                                                                                                                                      ","N","     0.240"
"FECHA-AMB "," Fecha comienzo de los ensayos          ","    238093","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-AMB "," Fecha fin de los ensayos               ","    238093","19/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha comienzo de los ensayos          ","    238093","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha fin de los ensayos               ","    238093","20/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238093","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238093","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22 ºC     ","    238093","0.0                                                                                                                                                                                                                                       ","K","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22º C     ","    238093","<1                                                                                                                                                                                                                                        ","N","     1.000"
"M-068-AC1 ","P1                                      ","    238093","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","P2                                      ","    238093","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Recuento                                ","    238093","0                                                                                                                                                                                                                                         ","K","     0.000"
"M-068-AC1 ","d                                       ","    238093","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Cromo total                             ","    238093","<10.0                                                                                                                                                                                                                                     ","N","     0.070"
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238094","190                                                                                                                                                                                                                                       ","N","   189.500"
"WMM-LM-CAM","Cloro total                             ","    238094","0.64                                                                                                                                                                                                                                      ","N","     0.640"
"D_TURBIDEZ","Turbidez                                ","    238094","0.6                                                                                                                                                                                                                                       ","N","     0.550"
"FECHA-AMB "," Fecha comienzo de los ensayos          ","    238094","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-AMB "," Fecha fin de los ensayos               ","    238094","19/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha comienzo de los ensayos          ","    238094","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha fin de los ensayos               ","    238094","20/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238094","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238094","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22 ºC     ","    238094","0.0                                                                                                                                                                                                                                       ","K","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22º C     ","    238094","<1                                                                                                                                                                                                                                        ","N","     1.000"
"M-068-AC1 ","P1                                      ","    238094","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","P2                                      ","    238094","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Recuento                                ","    238094","0                                                                                                                                                                                                                                         ","K","     0.000"
"M-068-AC1 ","d                                       ","    238094","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Aluminio total                          ","    238094","142.2                                                                                                                                                                                                                                     ","N","   142.180"
"MET-GRF-AC","Cobre total                             ","    238094","<50.0                                                                                                                                                                                                                                     ","N","     4.380"
"MET-GRF-AC","Cromo total                             ","    238094","<10.0                                                                                                                                                                                                                                     ","N","     0.060"
"MET-GRF-AC","Hierro total                            ","    238094","44.8                                                                                                                                                                                                                                      ","N","    44.780"
"MET-GRF-AC","Niquel total                            ","    238094","<5.0                                                                                                                                                                                                                                      ","N","     1.100"
"MET-GRF-AC","Plomo total                             ","    238094","2.5                                                                                                                                                                                                                                       ","N","     2.470"
"WMM-LM-CAM","Cloro combinado                         ","    238094","<0.10                                                                                                                                                                                                                                     ","N","     0.090"
"WMM-LM-CAM","Cloro libre                             ","    238094","0.55                                                                                                                                                                                                                                      ","N","     0.550"
"D_PH      ","pH                                      ","    238094","8.0                                                                                                                                                                                                                                       ","N","     7.970"
"M-068-AC1 ","Recnto. Microorg. cultivables a 22º C   ","    238095","Presencia /ml                                                                                                                                                                                                                             ","O","     0.000"
"M-068-AC1 ","Recuento                                ","    238095","1                                                                                                                                                                                                                                         ","K","     1.000"
"M-068-AC1 ","d                                       ","    238095","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Aluminio total                          ","    238095","90.5                                                                                                                                                                                                                                      ","N","    90.450"
"MET-GRF-AC","Cobre total                             ","    238095","<50.0                                                                                                                                                                                                                                     ","N","     8.540"
"MET-GRF-AC","Cromo total                             ","    238095","<10.0                                                                                                                                                                                                                                     ","N","     0.080"
"MET-GRF-AC","Hierro total                            ","    238095","31.6                                                                                                                                                                                                                                      ","N","    31.620"
"MET-GRF-AC","Niquel total                            ","    238095","<5.0                                                                                                                                                                                                                                      ","N","     1.440"
"MET-GRF-AC","Plomo total                             ","    238095","1.7                                                                                                                                                                                                                                       ","N","     1.700"
"WMM-LM-CAM","Cloro combinado                         ","    238095","0.17                                                                                                                                                                                                                                      ","N","     0.170"
"WMM-LM-CAM","Cloro libre                             ","    238095","0.31                                                                                                                                                                                                                                      ","N","     0.310"
"WMM-LM-CAM","Cloro total                             ","    238095","0.48                                                                                                                                                                                                                                      ","N","     0.480"
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238095","201                                                                                                                                                                                                                                       ","N","   200.700"
"D_PH      ","pH                                      ","    238095","8.0                                                                                                                                                                                                                                       ","N","     7.980"
"D_TURBIDEZ","Turbidez                                ","    238095","<0.4                                                                                                                                                                                                                                      ","N","     0.310"
"FECHA-AMB "," Fecha comienzo de los ensayos          ","    238095","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-AMB "," Fecha fin de los ensayos               ","    238095","19/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha comienzo de los ensayos          ","    238095","17/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"FECHA-MI  "," Fecha fin de los ensayos               ","    238095","20/02/2025                                                                                                                                                                                                                                ","T","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238095","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238095","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Microorganismos cultivables a 22 ºC     ","    238095","1.0                                                                                                                                                                                                                                       ","K","     1.000"
"M-068-AC1 ","P1                                      ","    238095","1                                                                                                                                                                                                                                         ","N","     1.000"
"M-068-AC1 ","P2                                      ","    238095","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de bacterias coliformes        ","    238096","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-016-AC1 ","Recuento de E. coli                     ","    238096","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","P1                                      ","    238096","1                                                                                                                                                                                                                                         ","N","     1.000"
"M-068-AC1 ","P2                                      ","    238096","0                                                                                                                                                                                                                                         ","N","     0.000"
"M-068-AC1 ","Recnto. Microorg. cultivables a 22º C   ","    238096","Presencia /ml                                                                                                                                                                                                                             ","O","     0.000"
"M-068-AC1 ","Recuento                                ","    238096","1                                                                                                                                                                                                                                         ","K","     1.000"
"M-068-AC1 ","d                                       ","    238096","0                                                                                                                                                                                                                                         ","N","     0.000"
"MET-GRF-AC","Aluminio total                          ","    238096","74.4                                                                                                                                                                                                                                      ","N","    74.380"
"MET-GRF-AC","Cobre total                             ","    238096","<50.0                                                                                                                                                                                                                                     ","N","     2.750"
"MET-GRF-AC","Cromo total                             ","    238096","<10.0                                                                                                                                                                                                                                     ","N","     0.060"
"MET-GRF-AC","Hierro total                            ","    238096","59.6                                                                                                                                                                                                                                      ","N","    59.640"
"MET-GRF-AC","Niquel total                            ","    238096","<5.0                                                                                                                                                                                                                                      ","N","     1.180"
"MET-GRF-AC","Plomo total                             ","    238096","<1.0                                                                                                                                                                                                                                      ","N","     0.200"
"WMM-LM-CAM","Cloro combinado                         ","    238096","0.15                                                                                                                                                                                                                                      ","N","     0.150"
"WMM-LM-CAM","Cloro libre                             ","    238096","0.23                                                                                                                                                                                                                                      ","N","     0.230"
"WMM-LM-CAM","Cloro total                             ","    238096","0.38                                                                                                                                                                                                                                      ","N","     0.380"
"D_CONDUCT ","Conductividad a 20 ºC                   ","    238096","192                                                                                                                                                                                                                                       ","N","   191.600"
"D_PH      ","pH                                      ","    238096","8.0                                                                                                                                                                                                                                       ","N","     8.020"
"D_TURBIDEZ","Turbidez                                ","    238096","<0.4                                                                                                                                                                                                                                      ","N","     0.300"
